glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
齔,0,齔,chèn,can3,SHIN,OSANAI,친,
齕,乞,乞,hé,hat6,KOTSU GOCHI KETSU,KAMU,흘,
齖,牙,牙,yá,,GA GE,,,
齗,,,yín,ngan4,KIN GIN,HAGUKI,은,
齘,介,介,xiè,haai6,KAI GAI,,,
齙,,,bāo,baau1 baau6,,,,
齚,乍,乍,zé,zaak3 zaak6,SAKU JAKU SA JA,KAMU,,
齛,世,卅,xiè,,,,,
齜,,,chái,zi1,,,,
齝,台,台,chī,ci1,CHI SHI,NIREGAMU NIGEKAMU,,
齞,只,只,yǎn,jin6,GEN,,,
齟,且,且,jǔ,zeoi2,SO SHO SA,KAMU,저,
齠,召,刀,tiáo,tiu4,CHOU,MISOPPA,초,
齡,令,令,líng,ling4,REI,YOWAI,령,
齢,令,令,líng,ling4,REI,YOWAI,,
齣,0,齣,chū,ceot1,SHUTSU SETSU,KUGIRI KOMA,,
齤,龹,龹,quán,kyun4,,,,
齥,曳,丿,xiè,,,,,
齦,艮,艮,kěn,han2 ngan4,GIN KON,HAGUKI,간,
齧,㓞,丯,niè,jit6 ngaat6 ngit6,KETSU GETSU,KAMU KAJIRU,설,
齨,,,jiù,,KYUU GU,USUBA,,
齩,交,交,yǎo,ngaau5,GOU KOU,KAMU KAJIRU KAMI,교,
齪,足,足,chuò,cuk1,SOKU SAKU SHOKU,SEMARU,착,
齫,困,困,yǔn,,,,곤,
齬,吾,五,yǔ,jyu5,GYO GO,KUICHIGAU KUICHIGAI,어,
齭,所,户,chǔ,,SHO SO,ITAMU,,
齮,奇,丂,yǐ,ji2,GI KI,KAMU,,
齯,兒,兒,ní,ngai4,GEI JI NI,,,
齰,昔,昔,zé,zaak3,SAKU JAKU SA JA,KAMU,,
齱,,,zōu,cuk1 zau1,SEKU SAKU SHUKU SHOKU SOKU,SEMARU,,
齲,禹,禹,qǔ,geoi2,KU U,MUSHIBA,우,
齳,軍,軍,yǔn,,GUN,,,
齴,彥,厂,yǎn,jin6 ngaan5,,,,
齵,禺,禺,óu,jyu4,GOU GU,,,
齶,咢,屰,è,ngok6,GAKU,HAGUKI,악,
齷,屋,屋,wò,aak1 ak1,AKU,AKUSEKUSURU,악,
齸,益,益,yì,,,,,
齹,差,左,cī,,,,,
齺,芻,芻,zōu,zau1,SHUU SHU SAKU ZAKU,,,
齻,真,真,diān,din1,,,,
齼,楚,疋,chǔ,,,,,
齽,禁,林,jìn,,KIN KON GON,MAGARIBA,,
齾,獻,虍,yà,ngaa3,,,,
齿,,,chǐ,ci2,,,,
龀,,,chèn,can3,,,,
龁,乞,乞,hé,hat6,,,,
龂,,,yín,ngan4,,,,
龃,,,jǔ,zeoi2,,,,
龄,,,líng,ling4,,,,
龅,,,bāo,baau1 baau6,,,,
龆,,,tiáo,tiu4,,,,
龇,,,zī,zi1,,,,
龈,,,kěn,han2 ngan4,,,,
龉,吾,五,yǔ,jyu5,,,,
龊,,,chuò,cuk1,,,,
龋,禹,禹,qǔ,geoi2,,,,
龌,屋,屋,wò,aak1,,,,
龍,0,龍,lóng,lung4,RYUU ROU,TATSU,룡 용,long
龎,,,páng,pong4,,,롱,
龏,龍,龍,gōng,,KYOU KU AKU,TSUTSUSHIMU NOBORU TOMOSHIBIOHOHI,,
龐,龍,龍,páng,pong4,HOU BOU ROU RU,TAKADONO,방,
龑,天,天,yǎn,jim2 jim5,EN GEN,,엄,
龒,,,lóng,,RYU RYOU,TATSU,룡,
龓,,,lǒng,,,,,
龔,,,gōng,gung1,KYOU KU YOU YU,SONAERU,공,
龕,合,合,kān,ham1,GAN KAN,ZUSHI,감,
龖,,,dá,daap6,TOU DOU SOU,OSORERU,,
龗,霝,霝,líng,ling4 lung4,REI RYOU,KAMI YOSHI,,
龘,龖,,dá,daap6,TOU,,,
龙,,,lóng,lung4,,,,
龚,,,gōng,gung1,,,,
龛,,,kān,ham1,,,,
龜,0,龜,guī,gau1 gwai1 gwan1,KI KYUU KIN,KAME,구 귀 균,
龝,龜,龜,qiū,cau1,SHUU,AKI TOKI,추,
龞,敝,㡀,biē,bit3,BETSU HETSU,SUPPON,,
龟,,,guī,gau1 gwai1 gwan1,,,,
龠,0,龠,yuè,joek6,YAKU,FUE,약,
龡,,,chuī,ceoi1,SUI,FUKU FUKINARASU,,
龢,,,hé,wo4,KA WA,YAWARAGU,화,
龣,,,jué,,KAKU ROKU,,,
龤,皆,皆,xié,haai4,KAI,,,
龥,龠,龠,yù,jyu6,YAKU YU,YOBU,유,
龦,常,向,,soeng4,,,,
龧,暑,者,,syu2,,,,
龨,,,,zeoi1,,,,
龩,靳,,,gan3,,,,
龪,,,,jan4,,,,
龫,,,,gon3,,,,
龬,罔,亡,,mong5,,,,
龭,異,異,,ji6,,,,
龮,翼,異,,jik6,,,,
龯,,,,mou6,,,,
龰,,,,,,,,
龱,,,,sei3 seon2 seon3 si3,,,,
龲,庫,車,,fu3,,,,
龳,坴,圥,,cam4 cim4,,,,
龴,,,,,,,,
龵,,,,,,,,
龶,,,,,,,,
龷,,,,,,,,
龸,,,,,,,,
龹,0,龹,,,,,,
龺,0,龺,,,,,,
龻,,,,,,,,
龼,,,,,,,,
龽,,,,,,,,
龾,,,,,,,,
龿,佳,圭,,,,,,
鿀,醫,矢,,,,,,
鿁,,,,,,,,
鿂,,,,,,,,
鿃,㚒,,shǎn,sim2,,,,
鿄,㲽,,,,,,,
鿅,,,,,,,,
鿆,,,,,,,,
鿇,爭,爭,,zang1,,,,
鿈,尺,尺,,ce1,,,,
鿉,五,五,,wu1,,,,
鿊,沚,止,,zi2,,,,
鿋,喜,喜,,hei1,,,,
鿌,,,,,,,,
鿍,夅,夅,gàng,,,,,
鿎,达,大,tǎ,,,,,
鿏,麦,麦,mài,,,,,
鿐,酒,酉,,zau2,,,,
鿑,,,,,,,,
鿒,,,,,,,,
鿓,,,,,,,,
鿔,哥,丂,gē,,,,,
鿕,丹,丹,dān,,,,,
鿖,,,,,,,,
鿗,,,,,,,,
鿘,,,,,,,,
鿙,,,,,,,,
鿚,,,,,,,,
鿛,凌,夌,,,,,,
鿜,拉,立,,,,,,
鿝,楞,楞,,,,,,
鿞,,,,,,,,
鿟,,,,,,,,
鿠,,,,,,,,
鿡,,,,,,,,
鿢,,,,,,,,
鿣,,,,,,,,
鿤,,,,,,,,
鿥,,,,,,,,
鿦,,,,,,,,
鿧,,,,,,,,
鿨,,,,,,,,
鿩,,,,,,,,
鿪,,,,,,,,
鿫,,,ào,ou3,,,,
鿬,,,tián,tin4,,,,
鿭,尔,尔,nǐ,nei5 saai2 nip6,,,,
鿮,帯,帯,,,,,,
鿯,物,勿,,,,,,
鿰,,,,,,,,
鿱,,,,,,,,
鿲,,,,,,,,
鿳,,,,,,,,
鿴,,,,,,,,
鿵,,,,,,,,
鿶,,,,,,,,
鿷,,,,,,,,
鿸,,,,,,,,
鿹,,,,,,,,
鿺,,,,,,,,
鿻,,,,,,,,
鿼,,,,,,,,
豈,,,,,,,개,
更,,,,,,,갱,
車,0,車,,,,,거,
賈,,,,,,,고,
滑,,,,,,,골,
串,,,,,,,관,
句,,,,,,,귀,
龜,0,龜,,gau1 gwai1 gwan1 kau1,,,귀,
龜,,,,,,,균,
契,㓞,丯,,,,,글,
金,,,,,,,금,
喇,剌,剌,,,,,나,
奈,,,,,,,나,
懶,賴,束,,,,,나,
癩,賴,束,,,,,나,
羅,維,隹,,,,,나,
蘿,,,,,,,나,
螺,累,田,,,,,나,
裸,,,,,,,나,
邏,羅,隹,,,,,나,
樂,,,,,,,낙,
洛,,,,,,,낙,
烙,,,,,,,낙,
珞,,,,,,,낙,
落,洛,各,,,,,낙,
酪,,,,,,,낙,
駱,,,,,,,낙,
亂,,,,,,,난,
卵,,,,,,,난,
欄,闌,柬,,,,,난,
爛,闌,柬,,,,,난,
蘭,闌,柬,,,,,난,
鸞,䜌,䜌,,,,,난,
嵐,,,,,,,남,
濫,監,監,,,,,남,
藍,監,監,,,,,남,
襤,監,監,,,,,남,
拉,,,,,,,납,
臘,巤,巤,,,,,납,
蠟,巤,巤,,,,,납,
廊,郞,,,long4,,,낭,
朗,,,,,,,낭,
浪,,,,,,,낭,
狼,,,,,,,낭,
郎,,,,,,,낭,
來,,,,,,,내,
冷,,,,,,,냉,
勞,,,,,,,노,
擄,虜,虍,,,,,노,
櫓,魯,魚,,,,,노,
爐,盧,𧆨,,,,,노,
盧,,,,,,,노,
老,,,,,,,노,
蘆,盧,𧆨,,,,,노,
虜,毌,毌,,lou5,,,노,
路,,,,,,,노,
露,路,各,,,,,노,
魯,,,,,,,노,
鷺,路,各,,,,,노,
碌,彖,彖,,,,,녹,
祿,彖,彖,,,,,녹,
綠,彖,彖,,,,,녹,
菉,彖,彖,,,,,녹,
錄,彖,彖,,,,,녹,
鹿,,,,,,,녹,
論,侖,侖,,,,,논,
壟,,,,,,,농,
弄,,,,,,,농,
籠,,,,,,,농,
聾,,,,,,,농,
牢,,,,,,,뇌,
磊,砳,,,,,,뇌,
賂,,,,,,,뇌,
雷,,,,,,,뇌,
壘,畾,畾,,,,,누,
屢,,,,,,,누,
樓,,,,,,,누,
淚,戾,戾,,,,,누,
漏,屚,屚,,,,,누,
累,,,,,,,누,
縷,,,,,,,누,
陋,,,,,,,누,
勒,,,,,,,늑,
肋,,,,,,,늑,
凜,稟,㐭,,,,,늠,
凌,夌,夌,,,,,능,
稜,夌,夌,,,,,능,
綾,夌,夌,,,,,능,
菱,夌,夌,,,,,능,
陵,夌,夌,,,,,능,
讀,賣,買,,,,,두,
拏,奴,奴,,,,,라,
樂,,,,,,,락,
諾,若,若,,,,,락,
丹,,,,,,,란,
寧,,,,,,,령,
怒,奴,奴,,,,,로,
率,,,,,,,률,
異,,,,,,,리,
北,,,,,,,배,
磻,,,,,,,번,
便,,,,,,,변,
復,复,复,,,,,부,
不,,,,,,,불,
泌,,,,,,,비,
數,,,,,,,삭,
索,,,,,,,삭,
參,,,,,,,삼,
塞,,,,,,,색,
省,,,,,,,생,
葉,枼,卅,,,,,섭,
說,兑,㕣,,,,,세,
殺,,,,,,,쇄,
辰,,,,,,,신,
沈,,,,,,,심,
拾,,,,,,,십,
若,,,,,,,야,
掠,京,京,,,,,약,
略,,,,,,,약,
亮,,,,,,,양,
兩,,,,,,,양,
凉,京,京,,,,,양,
梁,,,,,,,양,
糧,量,量,,,,,양,
良,,,,,,,양,
諒,京,京,,,,,양,
量,,,,,,,양,
勵,厲,萬,,,,,여,
呂,,,,,,,여,
女,,,,,,,여,
廬,盧,𧆨,,,,,여,
旅,,,,,,,여,
濾,慮,虍,,,,,여,
礪,厲,萬,,,,,여,
閭,吕,吕,,,,,여,
驪,麗,丽,,,,,여,
麗,,,,,,,여,
黎,,,,,,,여,
力,,,,,,,역,
曆,厤,秝,,,,,역,
歷,厤,秝,,,,,역,
轢,樂,樂,,,,,역,
年,,,,,,,연,
憐,,,,,,,연,
戀,䜌,䜌,,,,,연,
撚,然,犬,,,,,연,
漣,連,連,,,,,연,
煉,柬,柬,,,,,연,
璉,連,連,,,,,연,
秊,,,,,,,연,
練,柬,柬,,,,,연,
聯,,,,,,,연,
輦,,,,,,,연,
蓮,連,連,,,,,연,
連,,,,,,,연,
鍊,柬,柬,,,,,연,
列,,,,,,,열,
劣,,,,,,,열,
咽,因,囗,,,,,열,
烈,列,列,,,,,열,
裂,列,列,,,,,열,
說,兑,㕣,,,,,열,
廉,,,,,,,염,
念,,,,,,,염,
捻,念,今,,,,,염,
殮,僉,僉,,,,,염,
簾,廉,兼,,,,,염,
獵,巤,巤,,,,,엽,
令,,,,,,,영,
囹,,,,,,,영,
寧,寍,寍,,,,,영,
嶺,領,令,,,,,영,
怜,,,,,,,영,
玲,,,,,,,영,
瑩,,,,,,,영,
羚,,,,,,,영,
聆,,,,,,,영,
鈴,,,,,,,영,
零,,,,,,,영,
靈,霝,霝,,,,,영,
領,,,,,,,영,
例,列,列,,,,,예,
禮,豊,豊,,,,,예,
醴,豊,豊,,,,,예,
隸,隶,隶,,,,,예,
惡,亞,亞,,,,,오,
了,,,,,,,요,
僚,尞,尞,,,,,요,
寮,尞,尞,,,,,요,
尿,,,,,,,요,
料,,,,,,,요,
樂,,,,,,,요,
燎,尞,尞,,,,,요,
療,尞,尞,,,,,요,
蓼,翏,翏,,,,,요,
遼,尞,尞,,,,,요,
龍,,,,,,,용,
暈,軍,軍,,,,,운,
阮,,,,,,,원,
劉,,,,,,,유,
杻,,,,,,,유,
柳,卯,卯,,,,,유,
流,㐬,㐬,,,,,유,
溜,留,丣,,,,,유,
琉,㐬,㐬,,,,,유,
留,,,,,,,유,
硫,㐬,㐬,,,,,유,
紐,,,,,,,유,
類,,,,,,,유,
六,,,,,,,육,
戮,翏,翏,,,,,육,
陸,坴,圥,,,,,육,
倫,侖,侖,,,,,윤,
崙,侖,侖,,,,,윤,
淪,侖,侖,,,,,윤,
輪,侖,侖,,,,,윤,
律,聿,聿,,,,,율,
慄,栗,栗,,,,,율,
栗,,,,,,,율,
率,,,,,,,율,
隆,㚅,,,,,,융,
利,,,,,,,이,
吏,,,,,,,이,
履,復,复,,,,,이,
易,,,,,,,이,
李,,,,,,,이,
梨,利,利,,,,,이,
泥,尼,匕,,,,,이,
理,,,,,,,이,
痢,利,利,,,,,이,
罹,惟,隹,,,,,이,
裏,,,,,,,이,
裡,,,,,,,이,
里,,,,,,,이,
離,离,离,,,,,이,
匿,若,若,,,,,익,
溺,弱,弱,,,,,익,
吝,,,,,,,인,
燐,,,,,,,인,
璘,,,,,,,인,
藺,閵,閵,,,,,인,
隣,,,,,,,인,
鱗,,,,,,,인,
麟,,,,,,,인,
林,,,,,,,임,
淋,,,,,,,임,
臨,,,,,,,임,
立,,,,,,,입,
笠,,,,,,,입,
粒,,,,,,,입,
狀,,,,,,,장,
炙,,,,,,,적,
識,戠,戠,,,,,지,
什,,,,,,,집,
茶,,,,,,,차,
刺,朿,朿,,,,,척,
切,,,,,,,체,
度,,,,,,,탁,
拓,,,,,,,탁,
糖,唐,庚,,,,,탕,
宅,乇,乇,,,,,택,
洞,,,,,,,통,
暴,,,,,,,포,
輻,畐,畐,,,,,폭,
行,,,,,,,항,
降,夅,夅,,,,,항,
見,,,,,,,현,
廓,郭,亨,,,,,확,
兀,0,兀,,,KOTSU GOTSU,TAKAI HAGERU ASHIKIRU,,
嗀,,,,,KAKU,HAKUSAMA,,
﨎,,,,,,,,
﨏,,,,,,,,cốc
塚,冢,豖,,,CHOU,TSUKA,,
﨑,,,,,,,,
晴,青,生,,,SEI,HARERU HARE HARASU,,
﨓,苻,付,,,,,,
﨔,挙,挙,,,,,,
凞,,,,,KI,YAWARAGU,,
猪,者,者,,,CHO,INOSHISHI I,,
益,0,益,,jik1,EKI YAKU,MASU MASUMASU,,
礼,0,礼,,,REI RAI,NORI,,
神,申,申,,,SHIN JIN,KAMI KOU TAMASHII,,
祥,羊,羊,,,SHOU,SAIWAI,,
福,畐,畐,,,FUKU,SAIWAI HIMOROGI,,
靖,青,生,,,SEI JOU,YASUI YASUNJIRU YASU,,
精,青,生,,,SEI SHOU,SHIRAGEYONE KUWASHII KOKORO,,
羽,0,羽,,,U,HA HANE,,
﨟,,,,,,,,
蘒,龝,龜,,,,HAGI,,
﨡,,,,,,,,sên
諸,者,者,,,SHO,MORO KORE,,
﨣,,,,,,,,
﨤,,,,,,,,gặp
逸,免,免,,,ITSU ICHI,HASHIRU USHINAU SORERU,,
都,者,者,,,TO TSU CHO,MIYAKO SUBETE,,
﨧,,,,,,,,
﨨,,,,,,,,
﨩,島,島,,,,,,
飯,反,反,,,HAN BON,MESHI,,
飼,司,司,,,SHI JI,KAU YASHINAU,,
館,官,官,,,KAN,YAKATA TATE,,
鶴,寉,寉,,,KAKU,TSURU,,
郞,,,,,,,낭,
隷,隶,隶,,,,,예,
侮,,,,,,,,
僧,,,,,,,,
免,,,,,,,,
勉,,,,,,,,
勤,,,,,,,,
卑,,,,,,,,
喝,,,,,,,,
嘆,,,,,,,,
器,,,,,,,,
塀,屛,并,,,,,,
墨,,,,,,,,
層,,,,,,,,
屮,,,,,,,,
悔,,,,,,,,
慨,,,,,,,,
憎,,,,,,,,
懲,,,,,,,,
敏,,,,,,,,
既,旡,旡,,,,,,
暑,者,者,,,,,,
梅,,,,,,,,
海,,,,,,,,
渚,者,者,,,,,,
漢,,,,,,,,
煮,者,者,,,,,,
爫,,,,,,,,
琢,,,,,,,,
碑,,,,,,,,
社,,,,,,,,
祉,,,,,,,,
祈,,,,,,,,
祐,,,,,,,,
祖,,,,,,,,
祝,,,,,,,,
禍,,,,,,,,
禎,,,,,,,,
穀,,,,,,,,
突,,,,,,,,
節,,,,,,,,
練,,,,,,,,
縉,,,,,,,,
繁,,,,,,,,
署,者,者,,,,,,
者,0,者,,,,,,
臭,,,,,,,,
艹,,,,,,,,
艹,,,,,,,,
著,者,者,,,,,,
褐,,,,,,,,
視,,,,,,,,
謁,,,,,,,,
謹,,,,,,,,
賓,,,,,,,,
贈,,,,,,,,
辶,,,,,,,,
逸,,,,,,,,
難,0,難,,,,,,
響,鄕,乡,,,,,,
頻,,,,,,,,
恵,,,,,,,,
𤋮,,,,,,,,
舘,舎,舎,,,,,,
並,,,,,,,,
况,,,,,,,,
全,,,,,,,,
侀,,,,,,,,
充,,,,,,,,
冀,,,,,,,,
勇,,,,,,,,
勺,,,,,,,,
喝,,,,,,,,
啕,,,,,,,,
喙,,,,,,,,
嗢,,,,,,,,
塚,,,,,,,,
墳,,,,,,,,
奄,,,,,,,,
奔,,,,,,,,
婢,,,,,,,,
嬨,玆,,,,,,,
廒,,,,,,,,
廙,,,,,,,,
彩,,,,,,,,
徭,,,,,,,,
惘,㒺,,,,,,,
慎,,,,,,,,
愈,刖,月,,,,,,
憎,,,,,,,,
慠,,,,,,,,
懲,徴,,,,,,,
戴,,,,,,,,
揄,刖,月,,,,,,
搜,,,,,,,,
摒,,,,,,,,
敖,,,,,,,,
晴,,,,,,,,
朗,,,,,,,,
望,,,,,,,,
杖,,,,,,,,
歹,,,,,,,,
殺,,,,,,,,
流,,,,,,,,
滛,,,,,,,,
滋,玆,,,,,,,
漢,,,,,,,,
瀞,靜,爭,,,,,,
煮,,,,,,,,
瞧,睢,,,,,,,
爵,,,,,,,,
犯,,,,,,,,
猪,,,,,,,,
瑱,,,,,,,,
甆,玆,,,,,,,
画,,,,,,,,
瘝,,,,,,,,
瘟,,,,,,,,
益,,,,,,,,
盛,,,,,,,,
直,,,,,,,,
睊,,,,,,,,
着,,,,,,,,
磌,,,,,,,,
窱,,,,,,,,
節,,,,,,,,
类,,,,,,,,
絛,,,,,,,,
練,,,,,,,,
缾,,,,,,,,
者,,,,,,,,
荒,兦,兦,,,,,,
華,,,,,,,,
蝹,,,,,,,,
襁,,,,,,,,
覆,,,,,,,,
視,,,,,,,,
調,,,,,,,,
諸,,,,,,,,
請,,,,,,,,
謁,,,,,,,,
諾,,,,,,,,
諭,,,,,,,,
謹,,,,,,,,
變,,,,,,,,
贈,,,,,,,,
輸,,,,,,,,
遲,,,,,,,,
醙,,,,,,,,
鉶,,,,,,,,
陼,,,,,,,,
難,,,,,,,,
靖,,,,,,,,
韛,,,,,,,,
響,郷,郷,,,,,,
頋,,,,,,,,
頻,歩,歩,,,,,,
鬒,,,,,,,,
龜,,,,,,,,
𢡊,,,,,,,,
𢡄,,,,,,,,
𣏕,,,,,,,,
㮝,郤,谷,,,,,,
䀘,,,,,,,,
䀹,㚒,,,,,,,
𥉉,,,,,,,,
𥳐,,,,,,,,
𧻓,,,,,,,,
齃,,,,,,,,
龎,,,,,,,,
𠀀,,,hē,,,,,
𠀁,,,qī,cat1,,,,
𠀂,,,,,,,,
𠀃,,,qiě,,,,,
𠀄,,,,,,,,
𠀅,,,hài,hoi6,,,,
𠀆,,,,,,,,
𠀇,,,,,,,,
𠀈,,,,,,,,
𠀉,,,qiū,jau1,,,,
𠀊,,,cāo,,,,,
𠀋,,,,,,,,
𠀌,,,,,,,,
𠀍,,,shì,sai3,,,,
𠀎,,,,,,,,
𠀏,,,,,,,,
𠀐,,,,,,,,
𠀑,,,,,,,,
𠀒,,,,,,,,
𠀓,引,引,sī,,,,,
𠀔,,,jué,,,,,
𠀕,互,互,,,,,,
𠀖,,,,,,,,khạng
𠀗,,,,,,,,khệnh
𠀘,,,,,,,,
𠀙,,,,,,,,
𠀚,,,,,,,,
𠀛,,,yù,,,,,
𠀜,,,,,,,,
𠀝,,,kōng,,,,,
𠀞,,,,,,,,
𠀟,,,,,,,,
𠀠,,,,,,,,
𠀡,,,,tin1,,,,
𠀢,,,zī,,,,,
𠀣,,,,,,,,
𠀤,夶,,,,,,,
𠀥,,,,,,,,
𠀦,州,州,xíng,,,,,
𠀧,,,,,,,,ba
𠀨,,,,,,,,cụp
𠀩,,,,,,,,
𠀪,,,,,,,,khà
𠀫,,,,,,,,khề
𠀬,,,,,,,,
𠀭,,,,,,,,
𠀮,,,,,,,,
𠀯,囦,囦,,,,,,
𠀰,,,,,,,,
𠀱,,,mǒu,,,,,
𠀲,,,,,,,,đứa
𠀳,以,以,,,,,,rẻ
𠀴,,,,,,,,trụt
𠀵,,,,,,,,
𠀶,,,,,,,,
𠀷,,,jī,,,,,
𠀸,,,yè,,,,,
𠀹,,,jūn,,,,,
𠀺,,,,,,,,
𠀻,,,,,,,,
𠀼,,,qián,,,,,
𠀽,,,lù,,,,,
𠀾,会,会,,bui5,,,,
𠀿,吹,欠,,,,,,xuôi
𠁀,世,卅,,,,,,đời
𠁁,,,,,,,,
𠁂,,,,,,,,đứa
𠁃,,,,,,,,
𠁄,,,,,,,,luồn
𠁅,匆,匆,,,,,,
𠁆,直,直,,bik6,,,,
𠁇,,,,,,,,
𠁈,,,,,,,,
𠁉,凰,王,chū,,,,,
𠁊,,,,,,,,
𠁋,,,,,,,,
𠁌,,,,,,,,
𠁍,,,,,,,,
𠁎,連,連,,lin4,,,,
𠁏,,,,,,,,
𠁐,,,,,,,,
𠁑,帶,帶,,,,,,dưới
𠁒,,,,,,,,
𠁓,欲,谷,,,,,,
𠁔,甹,甹,,,,,,sánh
𠁕,,,,,,,,
𠁖,,,,,,,,
𠁗,皕,,shì,,,,,
𠁘,,,,,,,,
𠁙,,,,,,,,chả
𠁚,會,會,,,,,,cúi
𠁛,,,,,,,,
𠁜,,,,,,,,
𠁝,咸,咸,,,,,,gồm
𠁞,,,,,,,,
𠁟,,,,,,,,gồm
𠁠,,,qiè,,,,,
𠁡,,,,,,,,
𠁢,,,,,,,,
𠁣,,,,,,,,
𠁤,,,,,,,,
𠁥,,,gǎ,,,,,
𠁦,,,,,,,,
𠁧,,,,,,,,
𠁨,习,,,cung1,,,,
𠁩,,,,,,,,
𠁪,,,,,,,,nhắm
𠁫,,,,,,,,
𠁬,,,,,,,,
𠁭,个,个,qí,,,,,
𠁮,,,,,,,,
𠁯,,,,,,,,
𠁰,,,,,,,,
𠁱,,,,,,,,
𠁲,,,,,,,,
𠁳,,,,,,,,
𠁴,,,,,,,,
𠁵,,,,,,,,giữa
𠁶,,,,,,,,
𠁷,串,串,chǎn,,,,,
𠁸,,,,,,,,suốt
𠁹,與,与,,,,,,giữa
𠁺,達,大,,,,,,xuyên
𠁻,磊,磊,,,,,,chuỗi
𠁼,,,,,,,,
𠁽,,,,,,,,
𠁾,,,,,,,,
𠁿,,,,,,,,
𠂀,,,,,,,,
𠂁,,,,,,,,
𠂂,,,,,,,,
𠂃,,,,,,,,
𠂄,丹,丹,huān,,,,,
𠂅,,,,,,,,
𠂆,,,yì,jai6,,,,
𠂇,,,zuǒ,zo2,,,,
𠂈,,,jié,,,,,
𠂉,,,,,,,,
𠂊,,,,jan4,,,,
𠂋,,,,,,,,
𠂌,,,,,,,,
𠂍,,,,,,,,
𠂎,,,,,,,,ấy
𠂏,,,,,,,,
𠂐,,,,,,,,
𠂑,,,zōu,,,,,
𠂒,,,,,,,,
𠂓,,,,,,,,
𠂔,,,zǐ,zi2,,,,
𠂕,,,,,,,,
𠂖,丯,丯,,,,,,
𠂗,,,,,,,,
𠂘,,,,,,,,
𠂙,,,,,,,,
𠂚,,,,,,,,
𠂛,,,,,,,,
𠂜,,,,,,,,
𠂝,,,,zung3,,,,
𠂞,,,,,,,,
𠂟,,,jīn,,,,,
𠂠,,,,,,,,
𠂡,,,,,,,,
𠂢,,,pài,,,,,
𠂣,,,,,,,,
𠂤,,,duī,deoi1,,,,
𠂥,,,cóng,,,,,
𠂦,,,,,,,,
𠂧,,,shèn,,,,,
𠂨,,,,,,,,
𠂩,,,,,,,,
𠂪,卞,卞,,,,,,bèn
𠂫,卞,卞,,,,,,bèn
𠂬,,,,,,,,
𠂭,,,,,,,,
𠂮,,,,,,,,
𠂯,,,,,,,,
𠂰,,,,,,,,
𠂱,,,,,,,,
𠂲,,,,,,,,
𠂳,,,,,,,,
𠂴,,,,,,,,
𠂵,,,,,,,,
𠂶,,,,,,,,
𠂷,,,,,,,,
𠂸,,,huáng,,,,,
𠂹,,,,,,,,
𠂺,,,,,,,,
𠂻,衷,中,,,,,,
𠂼,,,,,,,,
𠂽,,,,,,,,
𠂾,,,,,,,,
𠂿,,,,,,,,
𠃀,,,,,,,,
𠃁,,,,,,,,
𠃂,,,,,,,,
𠃃,卮,卮,,,,,,
𠃄,,,,,,,,
𠃅,買,買,,,,,,mái
𠃆,,,,,,,,
𠃇,皕,,,,,,,
𠃈,,,,,,,,
𠃉,,,,,,,,
𠃊,,,yǐn,,,,,
𠃋,,,,,,,,
𠃌,,,gǔn,gwan2,,,,
𠃍,,,,,,,,
𠃎,,,,,,,,
𠃏,,,,,,,,
𠃐,,,,,,,,
𠃑,,,,,,,,
𠃒,,,,,,,,
𠃓,,,,,,,,
𠃔,,,,,,,,
𠃕,,,,,,,,
𠃖,,,jiū,,,,,
𠃗,于,于,,,,,울,
𠃘,,,,,,,,
𠃙,,,,,,,,
𠃚,,,,,,,,
𠃛,,,,,,,,
𠃜,,,,,,,,
𠃝,,,,,,,,út
𠃞,,,,,,,,
𠃟,,,,,,,,
𠃠,,,,,,,,
𠃡,,,,,,,,
𠃢,,,,,,,,
𠃣,,,,,,,,ít
𠃤,,,,,,,,
𠃥,,,,,,,,
𠃦,,,,,,,,
𠃧,飞,飞,,,,,,
𠃨,,,,,,,,
𠃩,㐱,㐱,,,,,,chín
𠃪,,,,,,,,
𠃫,,,shēn,,,,,
𠃬,,,,,,,,
𠃭,,,,,,,,
𠃮,尿,尿,,tam5,,,,
𠃯,秀,秀,,,,,,ụt
𠃰,乆,,,,,,,
𠃱,,,,,,,,
𠃲,,,,,,,,
𠃳,,,,,,,,
𠃴,,,,,,,,
𠃵,,,,,,,,
𠃶,,,,,,,,
𠃷,季,季,,,,,,út
𠃸,,,,,,,,
𠃹,,,,,,,,
𠃺,,,jiù,,,,,
𠃻,,,,,,,,
𠃼,,,,,,,,
𠃽,,,,,,,,
𠃾,,,,,,,,
𠃿,,,,,,,,
𠄀,于,于,,,,,,vú
𠄁,,,,,,,,
𠄂,,,,,,,,
𠄃,杳,杳,,,,,,
𠄄,,,,,,,,
𠄅,業,業,yè,,,,,
𠄆,,,,,,,,
𠄇,,,,,,,,
𠄈,,,,,,,,
𠄉,,,dòng,,,,,
𠄊,,,,,,,,
𠄋,,,,,,,,
𠄌,,,jué,,,,,
𠄍,,,jié,,,,,
𠄎,,,,,,,,
𠄏,,,diǎo,,,,,
𠄐,,,,,,,,
𠄑,,,jué,,,,,
𠄒,才,才,chuí,,,,,
𠄓,,,,,,,,
𠄔,,,,,,,,
𠄕,,,,,,,,
𠄖,,,líng,,,,,
𠄗,,,,,,,,
