glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
㖣,咅,咅,tòu,bu4 tau3,,,,vòi
㖤,函,函,hán,haam4,,,,
㖥,囷,囷,jùn,kwaan3 leon1 zeon1,,,,
㖦,東,東,dǒng,dung2,,,,
㖧,昏,昏,hūn,faan1,,,,hôn
㖨,彖,彖,lù,luk6,,,,
㖩,,,jū,zaau1,,,,
㖪,,,huò,gwok3,,,,
㖫,夌,夌,líng,ling4,,,,lừng
㖬,,,,,,,,
㖭,忝,天,tiǎn,tim1 tim2,,,,
㖮,侖,侖,lún,leon4 leon4,,,,
㖯,,,,,,,,
㖰,,,,,,,,
㖱,,,,,,,,
㖲,,,,,,,,
㖳,汝,女,,,,,,
㖴,芴,勿,,,,,,
㖵,具,具,gé,,,,,
㖶,垔,垔,yān,zin1 zin3 zit3,,,,
㖷,,,shí,taai4,,,,
㖸,虐,虐,xué,koek6,,,,
㖹,盆,分,pēn,fu2 paan3 pun4,,,,vồn
㖺,春,屯,chǔn,ceon2,,,,
㖻,柔,矛,niú,zaau4,,,,
㖼,某,某,duǒ,mau4,,,,mỏ
㖽,,,zé,zaak3,,,,hợt
㖾,屰,屰,è,ngok6,,,,
㖿,耶,耶,xié,ce4 ze4,,,,
㗀,幽,,yōu,zaau1,,,,
㗁,咢,屰,è,ngok6 zit6,,,,
㗂,省,丿,shěng,saang2,,,,
㗃,昬,民,wěn,maan4 maan5,,,,
㗄,,,kū,man4 man6 ming4,,,,
㗅,胡,古,hú,wu4,,,,
㗆,,,gé,gaak3,,,,
㗇,叚,叚,xiá,gaa5 haa4,,,,
㗈,勇,用,màn,maan6,,,,
㗉,㓞,丯,lüè,loek6,,,,
㗊,,,jí,leoi4 lo4,,,,
㗋,矦,矦,hóu,hau4,,,,
㗌,室,至,zhì,zaat6,,,,
㗍,,,,,,,,
㗎,架,加,,gaa2 gaa3 gaa4,,,,
㗏,歪,歪,wāi,,,,,
㗐,,,,,,,,
㗑,拜,拜,bai,bai6,,,,bới
㗒,哀,衣,ài,oi2,,,,
㗓,追,,zhuī,ci3 zeoi1,,,,
㗔,虔,文,qiān,hin1,,,,
㗕,冓,冓,gòu,gaau3 ngaau1,,,,
㗖,舀,舀,dàn,daam6,,,,thào
㗗,,,bēi,bai2 bei1,,,,
㗘,尃,父,bó,bok3 bok6,,,,
㗙,芻,芻,chū,zaau1,,,,sò
㗚,栗,栗,lì,lei6 leot6,,,,trắt
㗛,笑,笑,xiào,siu3,,,,
㗜,畜,畜,xiù,cau3,,,,súc
㗝,羔,羔,,gou1,,,,
㗞,破,皮,,,,,,
㗟,注,主,,,,,,
㗠,始,台,,,,,,
㗡,,,,,,,,
㗢,動,東,hóng,hung1,,,,rống
㗣,帶,帶,tì,daai3 taai3,,,,
㗤,戚,尗,cù,cuk1,,,,
㗥,郭,亨,kuò,kwok3,,,,
㗦,聊,卯,láo,lou4,,,,
㗧,窒,至,zhì,zaat6,,,,
㗨,殹,矢,xiē,aai2 hai6,,,,
㗩,習,習,xī,ci1,,,,
㗪,紫,此,,,,,,
㗫,祭,祭,qiè,caai3 cam1 saam6,,,,
㗬,,,zhā,zaa1,,,,
㗭,悉,悉,xī,hei1,,,,
㗮,,,,,,,,
