glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㕚,叉,zhǎo,zaau2,,,,
㕛,0,xù,zaau5,,,,
㕜,,shǐ,sei3 si2,,,,
㕝,,,,,,,
㕞,,shuā,caat3,,,,
㕟,,kuì,wai2,,,,
㕠,准,shuāng,soeng1,,,,
㕡,䜭,hé,hang1 kok3,,,,
㕢,,gài,,,,,
㕣,0,yǎn,zin2,,,,
㕤,,qiú,gwaai2 kaau4,,,,
㕥,,shēn,zyu5,,,,
㕦,,huà,waa6 zyu5,,,,
㕧,,xī,si1,,,,
㕨,,fàn,faan6,,,,
㕩,,pàng,zoeng3,,,,
㕪,,dǎn,dam2,,,,
㕫,,fǎng,fong2,,,,
㕬,公,gōng,gung1 zung6,,,,
㕭,夭,āo,au3 jaau1,,,,êu
㕮,父,fǔ,fu2,,,,
㕯,内,nè,neot6,,,,
㕰,,xuè,huk6 maa3,,,,mau
㕱,,yóu,zaau4,,,,
㕲,,huá,muk1 zing4,,,,
㕳,凶,,hung1,,,,
㕴,冗,chén,caam4,,,,
㕵,,guó,gwok3,,,,uống
㕶,五,ň,ng6,,,,
㕷,,huà,pak1,,,,
㕸,,lì,lai6 lap1 lap6,,,,lắp
㕹,,fá,fat6,,,,
㕺,,xiāo,hiu1,,,,
㕻,否,pǒu,faau2 fu3 taau3,,,,
㕼,匈,,dung6 hung1,,,,
㕽,以,sì,cek3 ci5 ji5,,,,
㕾,,,,,,,
㕿,,,,,,,
㖀,聿,lè,laak6 lak6 loet3,,,,
㖁,,lìn,leon6,,,,
㖂,曳,yì,zaai6,,,,
㖃,后,hǒu,haam1 haau3 haau6,,,,
㖄,州,,zaau1 zaau3,,,,
㖅,戌,xù,seot1,,,,
㖆,曲,qú,kuk1,,,,
㖇,,ér,mei1 ji4 zi4,,,,nhe
㖈,,,,,,,
㖉,企,,,,,,
㖊,寻,xún,,,,,
㖋,,,,,,,
㖌,仇,,,,,,
㖍,,,,,,,
㖎,,,,,,,
㖏,圼,niè,nip6,,,,
㖐,尹,wěi,do6 hei3 waai2,,,,
㖑,戒,xiè,hai6,,,,nhái
㖒,弟,tí,tai4,,,,
㖓,夆,hóng,hung4,,,,
㖔,吞,tǔn,taan1,,,,
㖕,,niè,zip6 zit6,,,,
㖖,,niè,saan1 zip6 zit6,,,,
㖗,岑,yín,zaam4,,,,sùm
㖘,,zhēn,san2 seon2,,,,
㖙,,,,,,,
㖚,,,,,,,
㖛,,,,,,,
㖜,,,,,,,
㖝,,,,,,,
㖞,呙,wāi,waa1,,,,
㖟,受,shòu,sau6,,,,
㖠,奈,nuò,nap6 no4,,,,nhại
