glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
𣩆,,,,,,,
𣩇,,,,,,,
𣩈,差,cuó,,,,,
𣩉,,,,,,,
𣩊,,,,,,,
𣩋,祚,,,,,,
𣩌,,,,,,,
𣩍,,,,,,,
𣩎,,,,,,,
𣩏,,lù,,,,,
𣩐,,,,,,,
𣩑,崔,zuì,,,,,
𣩒,曹,zāo,,,,,
𣩓,巢,jiǎo,,,,,
𣩔,貫,guàn,,,,,
𣩕,,,,,,,
𣩖,爯,,,,,,
𣩗,,,,,,,
𣩘,,,,,,,
𣩙,焉,yān,,,,,
𣩚,,ér,,,,,
𣩛,,,,,,,
𣩜,竟,qíng,,,,,
𣩝,,,,,,,
𣩞,,,,,,,
𣩟,登,dèng,,,,,
𣩠,斯,sì,,,,,
𣩡,最,suì,,,,,
𣩢,尞,liào,,,,,
𣩣,,,,,,,
𣩤,,,,,,,
𣩥,,,,,,,
𣩦,,,,,,,ngoéo
𣩧,善,shàn,,,,,
𣩨,,,,,,,
𣩩,,bì,,,,,
𣩪,歲,wèi,,,,,
𣩫,業,yè,,,,,
𣩬,,,,,,,
𣩭,欲,zhài,,,,,
𣩮,,,,,,,
𣩯,㬎,yé,,,,,
𣩰,翟,diào,,,,,
𣩱,蓋,ài,,,,,
𣩲,,,,,,,
𣩳,,,,,,,
𣩴,强,jiàng,,,,,
𣩵,,,,,,,
𣩶,,,,,,,
𣩷,,sū,,,,,
𣩸,碎,,,,,,toi
𣩹,褱,huài,,,,,
𣩺,,yù,,,,,
𣩻,,,,,,,
𣩼,,,,,,,
𣩽,襄,rǎng,,,,,
𣩾,,,,,,,
𣩿,,,,,,,
𣪀,顛,diān,,,,,
𣪁,贊,zuān,,,,,
𣪂,丹,bān,,,,,
𣪃,,,,,,,
𣪄,,qín,,,,,
𣪅,,,,,,,
𣪆,,,,,,,
𣪇,,jiā,,,,,
𣪈,,,,,,,
𣪉,,pí,,,,,
𣪊,,,,,,,
𣪋,,,,,,,
𣪌,,tóu,,,,,
𣪍,,,,,,,
𣪎,,,,,,,
𣪏,,,,,,,
𣪐,,chóu,,,,,
𣪑,,,,,,,
𣪒,,,,,,,
𣪓,,,,,,,
𣪔,,,,,,,
𣪕,㿝,guǐ,,,,,
𣪖,,,,,,,
𣪗,円,,,,,,
𣪘,,,,,,,
𣪙,,,,,,,
𣪚,,,,,,,
𣪛,,,,,,,
𣪜,,,,,,,
𣪝,,,,,,,
𣪞,,,,,,,
𣪟,,,,,,,
𣪠,,jī,,,,,
𣪡,,,,,,,
𣪢,,,,,,,
𣪣,,,,,,,
𣪤,,,,,,,
𣪥,,,,,,,
𣪦,,,,,,,
𣪧,,,jan1,,,,
𣪨,,xuè,,,,,
𣪩,,,,,,,
𣪪,,diàn,,,,,
𣪫,,,,,,,
𣪬,,,,,,,
𣪭,,biàn,,,,,
𣪮,宰,zǎi,,,,,
𣪯,宮,tóng,,,,,
𣪰,盌,,,,,,
𣪱,,,,,,,
𣪲,丵,,,,,,
𣪳,,,,,,,
𣪴,,,,,,,
𣪵,,,,,,,
𣪶,參,shǎn,,,,,
𣪷,,,,,,,
𣪸,,gù,,,,,
𣪹,,què,,,,,
𣪺,,,,,,,
𣪻,,,,,,,
𣪼,牚,,,,,,
𣪽,,,,,,,
𣪾,,,,,,,
𣪿,,,,,,,
𣫀,,gǔ,,,,,
𣫁,,,,,,,
𣫂,,,,,,,
𣫃,,,,,,,
𣫄,,,,,,,
𣫅,,,,,,,
𣫆,,,,,,,
𣫇,,,,,,,
𣫈,,hú,,,,,
𣫉,穀,kuǎi,,,,,
𣫊,,,,,,,
𣫋,,,,,,,
𣫌,,gòu,,,,,
𣫍,,,,,,,
𣫎,,sù,,,,,
𣫏,,,,,,,
𣫐,壽,chóu,,,,,
𣫑,算,,,,,,
𣫒,巠,kēng,,,,,
𣫓,,,,,,,
𣫔,豖,dū,,,,,
𣫕,殿,,,,,,đền
𣫖,,,,,,,
𣫗,,,,,,,
𣫘,,,,,,,
𣫙,杲,yì,,,,예,
𣫚,,,,,,,
𣫛,豪,,ai6 ngai6,,,,
𣫜,卓,dào,,,,,
𣫝,空,qiāng,,,,,
𣫞,丵,,,,,,
𣫟,,,,,,,
𣫠,,,,,,,
𣫡,,,,,,,
𣫢,,,,,,,
𣫣,殸,lóng,,,,,
𣫤,,,,,,,
𣫥,殹,lí,,,,,
𣫦,,,,,,,
𣫧,藶,lì,,,,,
𣫨,殸,qīng,,,,,
𣫩,,,,,,,
𣫪,會,wēi,,,,,
𣫫,,,,,,,
𣫬,,móu,,,,,
𣫭,,,,,,,
𣫮,,,hou2,,,,
𣫯,,,,,,,
𣫰,,,,,,,
𣫱,,qì,,,,,
𣫲,仃,,,,,,đừng
𣫳,冊,jiǎng,,,,,
𣫴,,xié,,,,,
𣫵,,,,,,,
𣫶,,,,,,,
𣫷,半,,,,,,vắn
𣫸,,,,,,,
𣫹,毒,dài,,,,,
𣫺,育,,juk6,,,,
𣫻,毌,lóu,,,,,
𣫼,,,,,,,
𣫽,毋,,,,,,
𣫾,,,,,,,
𣫿,,,,,,,
𣬀,,,,,,,
𣬁,,,,,,,
𣬂,,guàn,,,,,
𣬃,,,,,,,
𣬄,,,,,,,
𣬅,,,,,,,
𣬆,,péi,,,,,
𣬇,,,,,,,
𣬈,,,,,,,
𣬉,,pí,,,,,
𣬊,,,,,,,
𣬋,,juàn,,,,,
𣬌,,,,,,,
𣬍,,bēi,,,,,
𣬎,夬,jué,,,,,
𣬏,,juàn,,,,,
𣬐,史,shì,,,,,
𣬑,,,,,,,
𣬒,,,,,,,
𣬓,,,,,,,
𣬔,,,,,,,
𣬕,,xiě,,,,,
𣬖,毗,,,,,,
𣬗,灷,,,,,,
𣬘,灷,ruí,,,,,
𣬙,竞,jìng,,,,,
𣬚,㲋,pò,paak3,,,,
𣬛,,sān,,,,,
𣬜,,,,,,,
𣬝,,,,,,,
𣬞,,,,,,,
𣬟,,,,,,,
𣬠,,jī,,,,,
𣬡,,,,,,,
𣬢,,,,,,,
𣬣,,,,,,,
𣬤,,,,,,,
𣬥,,,,,,,
𣬦,,,,,,,
𣬧,,,,,,,
𣬨,,,,,,,
𣬩,,fēn,,,,,
𣬪,巿,bèi,,,,,
𣬫,介,jiè,,,,,
𣬬,,sā,,,,,
𣬭,,,,,,,
𣬮,匹,pī,,,,,
𣬯,,,,,,,
𣬰,,,,,,,
𣬱,,,,,,,
𣬲,,,,,,,
𣬳,,,,,,,
𣬴,,dì,,,,,
𣬵,,máo,,,,,
𣬶,,ba,,,,,
𣬷,,ba,,,,,
𣬸,,tiáo,,,,,
𣬹,,líng,,,,,
𣬺,,shēng,,,,,
𣬻,氶,zhěn,,,,,
𣬼,,pī,,,,,
𣬽,,wù,,,,,
𣬾,,,,,,,
𣬿,乍,zè,,,,,
𣭀,,bào,,,,,
𣭁,,,,,,,
𣭂,,,,,,,
𣭃,囚,,,,,,sù
𣭄,,,,,,,
𣭅,,,,,,,
𣭆,,,,,,,
𣭇,,lǚ,,,,,
𣭈,,,,,,,
𣭉,,,,,,,
𣭊,,,,,,,
𣭋,,,,,,,
𣭌,,,,,,,
𣭍,,,,,,,
𣭎,,,,,,,
𣭏,,,,,,,
𣭐,,,,,,,
𣭑,,,,,,,
𣭒,,,,,,,
𣭓,,,,,,,
𣭔,,,,,,,
𣭕,,,,,,,
𣭖,号,hāo,,,,,
𣭗,,dǒu,,,,,
𣭘,,fú,,,,,
𣭙,尼,ní,,,,,
𣭚,,,bou6,,,,
𣭛,乏,,,,,,bờm
𣭜,,,,,,,
𣭝,,gé,,,,,
𣭞,,,,,,,
𣭟,,,,,,,
𣭠,如,rú,,,,,
𣭡,,xiǎn,,,,,
𣭢,,,,,,,
𣭣,,,,,,,
𣭤,毕,bì,,,,,
𣭥,,,,,,,
𣭦,,,,,,,
𣭧,,,,,,,
𣭨,,,,,,,
𣭩,,,,,,,
𣭪,,,,,,,
𣭫,㣊,,,,,,
𣭬,,,,,,,
𣭭,,,,,,,
𣭮,,máo,,,,,
𣭯,夷,,,,,,ria
𣭰,牟,,,,,,mào
𣭱,,,,,,,
𣭲,甬,rǒng,,,,,
𣭳,,qiú,,,,,
𣭴,,,,,,,
𣭵,,,,,,,
𣭶,,,,,,,
𣭷,孛,bó,,,,,
𣭸,,,,,,,
𣭹,,hāo,,,,,
𣭺,,nǎo,,,,,
𣭻,,yán,,,,,mau
𣭼,尿,,,,,,
𣭽,,,,,,,
𣭾,,,,,,,
𣭿,,,,,,,
𣮀,,,,,,,
𣮁,,,,,,,
𣮂,,,,,,,
𣮃,,páo,,,,,
𣮄,妥,suī,,,,,
𣮅,,,,,,,
𣮆,兑,tuò,,,,,
𣮇,吳,,,,,,ngù
𣮈,屈,qū,,,,,
𣮉,,lí,,,,,
𣮊,㝵,dé,,,,,
𣮋,,,,,,,
𣮌,疌,jié,,,,,
𣮍,妾,jié,,,,,
𣮎,昆,gǔn,,,,,
𣮏,戔,jiān,,,,,
𣮐,,bì,,,,,
𣮑,,,,,,,
𣮒,,,,,,,
𣮓,,,,,,,
𣮔,,,,,,,
𣮕,,,,,,,
𣮖,,,,,,,
𣮗,靣,,,,,,
𣮘,,,,,,,
𣮙,,,,,,,
𣮚,,,,,,,
𣮛,,,,,,,
𣮜,,,,,,,
𣮝,,,,,,,
𣮞,,,,,,,
𣮟,叁,,,,,,
𣮠,,sàn,,,,,
𣮡,奔,bāng,,,,,
𣮢,享,chún,,,,,
𣮣,,,,,,,
𣮤,,,,,,,
𣮥,,,,,,,
𣮦,奈,nài,,,,,
𣮧,並,bǎng,,,,,
𣮨,,,,,,,
𣮩,,,,,,,
𣮪,柔,róng,,,,,
𣮫,叚,jiā,,,,,
𣮬,叜,sōu,,,,,
𣮭,,,,,,,
𣮮,,,,,,,
𣮯,,,,,,,
𣮰,,dé,,,,,
𣮱,,,,,,,
𣮲,,,,,,,
𣮳,耄,,,,,,
𣮴,,,,,,,
𣮵,,,,,,,
𣮶,,,,,,,
𣮷,,,,,,,
𣮸,,,,,,,
𣮹,,,,,,,
𣮺,,,,,,,
𣮻,,,,,,,
𣮼,,,,,,,
𣮽,,,,,,,
𣮾,,xiān,,,,,
𣮿,,zhān,,,,,
𣯀,冒,mào,,,,,
𣯁,,,,,,,
𣯂,,,,,,,
𣯃,咨,zī,,,,,
𣯄,,,,,,,
𣯅,,jì,,,,,
𣯆,耆,qí,,,,,
𣯇,,,,,,,
𣯈,,,,,,,
𣯉,,,,,,,
𣯊,,,,,,,
𣯋,辱,rù,,,,,
𣯌,娑,suō,,,,,
𣯍,隼,rǒng,,,,,
𣯎,,wù,,,,,
𣯏,茸,róng,,,,,
𣯐,,róng,,,,,
𣯑,,,,,,,
𣯒,俱,,,,,,
𣯓,,,,,,,
𣯔,,,,,,,
𣯕,,,,,,,
𣯖,,,,,,,
𣯗,厝,,,,,,
𣯘,,,,,,,
𣯙,,,,,,,
𣯚,荅,tà,,,,,
𣯛,,,,,,,
𣯜,叟,sōu,,,,,
𣯝,㲎,,,,,,
𣯞,,,,,,,
𣯟,,,,,,,
𣯠,㲎,,,,,,
𣯡,竜,,,,,,lông
𣯢,娑,,,,,,
𣯣,,,,,,,
𣯤,离,lí,,,,,
𣯥,,,,,,,
𣯦,,,,,,,
𣯧,崔,cuǐ,,,,,
𣯨,從,zōng,,,,,
𣯩,㒼,mén,,,,,
𣯪,徙,xǐ,,,,,
𣯫,,,,,,,
𣯬,莽,mǎng,,,,,
𣯭,埶,niè,,,,,
𣯮,,,,,,,
𣯯,崔,suī,,,,,
𣯰,,,,,,,
𣯱,陪,péi,,,,,
𣯲,,,,,,,
𣯳,,,,,,,
𣯴,畢,bì,,,,,
𣯵,啇,dì,,,,,
𣯶,,,,,,,
𣯷,,,,,,,
𣯸,渠,qú,,,,,
𣯹,喬,qiáo,,,,,
𣯺,,,,,,,
𣯻,賁,fēn,,,,,
𣯼,粟,sù,,,,,
𣯽,,,,,,,
𣯾,,,,,,,
𣯿,,,,,,,
𣰀,,,,,,,
𣰁,萗,,,,,,
𣰂,,,,,,,
𣰃,,xū,,,,,
𣰄,,,,,,,
𣰅,,,,,,,
𣰆,,,,,,,
𣰇,矞,rǒng,,,,,
𣰈,幾,jī,,,,,
𣰉,,,,,,,
𣰊,,,,,,,
𣰋,,qú,,,,,
𣰌,葛,liè,,,,,
𣰍,,,,,,,
𣰎,,,,,,,
𣰏,嵬,,,,,,ngòi
𣰐,裘,,,,,,
𣰑,,,,,,,
𣰒,,,,,,,
𣰓,,,,,,,
𣰔,,,,,,,
𣰕,喿,sào,,,,,
𣰖,㫒,,,,,,
𣰗,,,,,,,
𣰘,,kùn,,,,,
𣰙,禁,,,,,,quặm
𣰚,算,cuì,,,,,
𣰛,蓋,yè,,,,,
𣰜,凴,bìng,,,,,
𣰝,,,,,,,
𣰞,翟,jié,,,,,
𣰟,,,,,,,
𣰠,,qú,,,,,
𣰡,,qú,,,,,
𣰢,屢,,,,,,
𣰣,,,,,,,
𣰤,粽,,,,,,
𣰥,蒙,méng,,,,,
𣰦,監,rán,,,,,
𣰧,,,,,,,
𣰨,賓,bīn,,,,,
𣰩,,cháo,,,,,
𣰪,徹,,,,,,
𣰫,,,,,,,
𣰬,賣,dú,,,,,
𣰭,,,,,,,
𣰮,,,,,,,
𣰯,,,,,,,
𣰰,奭,,,,,,
𣰱,,,,,,,
𣰲,毟,,,,,,
𣰳,,,,,,,lông
𣰴,,,,,,,lông
𣰵,,,,,,,lông
𣰶,襄,ráng,,,,,
𣰷,韱,xiān,,,,,
𣰸,,,,,,,
𣰹,,,,,,,
𣰺,,táo,,,,,
𣰻,雚,qú,,,,,
𣰼,聶,niè,,,,,
𣰽,,,,,,,
𣰾,,,,,,,
𣰿,麗,shū,,,,,
𣱀,羅,lǔ,,,,,
𣱁,曡,,,,,,
𣱂,變,kùn,,,,,
𣱃,疊,,,,,,
𣱄,鹽,,,,,,
𣱅,,,,,,,
𣱆,,,,,,,họ
𣱇,,,,,,,
𣱈,民,mín,,,,,
𣱉,民,mǐn,,,,,
𣱊,,,,,,,
𣱋,,,,,,,
𣱌,亜,,,,,,
𣱍,,dàn,,,,,
𣱎,,,,,,,
𣱏,,,,,,,
𣱐,垔,yìn,,,,,
𣱑,,,,,,,
𣱒,,,,,,,
𣱓,,xiào,,,,,
𣱔,,,,,,,
𣱕,,,,,,,
𣱖,,,,,,,
𣱗,,jì,,,,,
𣱘,,,,,,,
𣱙,,,,,,,
𣱚,,,,,,,
𣱛,,,,,,,
𣱜,,yīn,,,,,
𣱝,,,,,,,
𣱞,,,,,,,
𣱟,,,,,,,
𣱠,,,,,,,
𣱡,,,,,,,
𣱢,,,,,,,
𣱣,困,,kwan3,,,,
𣱤,,,,,,,
𣱥,,,,,,,
𣱦,盆,fēn,,,,,
𣱧,,zhòng,,,,,
𣱨,,,,,,,
𣱩,,,,,,,
𣱪,,,,,,,
𣱫,畨,gǔ,,,,,
𣱬,希,,,,,,hơi
𣱭,稟,,,,,,bủm
𣱮,輕,,,,,,
𣱯,,,,,,,
𣱰,韱,,,,,,rắm
𣱱,,chá,,,,,
𣱲,,,,,,,
𣱳,,liú,,,,,
𣱴,,,,,,,
𣱵,,,,,,,
𣱶,,bǔ,,,,,vục
𣱷,,,,,,,
𣱸,,,,,,,
𣱹,,,,,,,
𣱺,,pā,,,,,
𣱻,,sì,,,,,
𣱼,,dāo,,,,,đao
𣱽,,zhěn,,,,,lầy
𣱾,了,,,,,,lẻo
𣱿,,,,,,,nhớp
𣲀,,shān,,,,,
𣲁,,,,,,,
𣲂,,chuǎi,,,,,
𣲃,,,,,,,
𣲄,乆,jiǔ,,,,,
𣲅,,,,,,,
𣲆,,,,,,,
𣲇,,,,,,,
𣲈,,,,,,,
𣲉,,,,,,,
𣲊,,kè,,,,,
𣲋,,chí,,,,,
𣲌,,,,,,,
𣲍,,,,,,,ngụt
𣲎,,,,,,,
𣲏,,,,,,,
𣲐,㸦,,,,,,
𣲑,,hù,,,,,
𣲒,仂,lì,,,,,
𣲓,,shā,,,,,
𣲔,,,,,,,
𣲕,,,,,,,
𣲖,,pài,,,,,
𣲗,韋,wéi,,,,,
𣲘,无,wǔ,,,,,
𣲙,,,zeoi2,,,,
𣲚,仁,,jan4,,,,
𣲛,,,sing4,,,,
𣲜,,yíng,,,,,
𣲝,,,,,,,
𣲞,扎,,,,,,
𣲟,,,,,,,
𣲠,,,,,,,ngớt
𣲡,尐,shā,,,,,
𣲢,匁,dī,,,,,
𣲣,,,,,,,
𣲤,,,,,,,
𣲥,丹,dān,,,,,
𣲦,,,,,,,sểu
𣲧,,,,,,,
𣲨,,,,,,,
𣲩,,,,,,,
𣲪,,,,,,,
𣲫,,,,,,,
𣲬,,,,,,,
𣲭,,,,,,,
𣲮,,,,,,,
𣲯,,,,,,,
𣲰,,,,,,,
𣲱,,tū,,,,,
𣲲,,hé,,,,,
𣲳,叵,pǒ,,,,,
𣲴,,,,,,,
𣲵,只,zhǐ,zi2,,,,
𣲶,,niǔ,,,,,
𣲷,㘝,nì,nap6,,,,
𣲸,,,,,,,
𣲹,冉,,,,,,nhèm
𣲺,叏,,,,,,
𣲻,凥,,,,,,
𣲼,宄,,,,,,
𣲽,宂,rǒng,,,,,
𣲾,圣,guài,,,,,
𣲿,,,,,,,
𣳀,,zhí,,,,,
𣳁,,,,,,,
𣳂,,,,,,,
𣳃,,jí,,,,,
𣳄,,,,,,,
𣳅,,,,,,,
𣳆,冯,,,,,,
𣳇,左,,zo2,,,,
𣳈,仙,,sin1,,,,
𣳉,四,,si3,,,,
𣳊,,,,,,,
𣳋,,,,,,,
𣳌,,,,,,,
𣳍,,,,,,,
𣳎,,,,,,,
𣳏,,,,,,,
𣳐,,,,,,,
𣳑,,,,,,,
𣳒,,,,,,,
𣳓,,,,,,,
𣳔,,,,,,,dòng
𣳕,,,,,,,
𣳖,,,,,,,
𣳗,,,,,,,
𣳘,丗,,,,,,
𣳙,厈,,,,,,
𣳚,,,,,,,
𣳛,,,,,,,
𣳜,犯,fàn,,,,,
𣳝,,,,,,,
𣳞,,,,,,,
𣳟,疋,jié,,,,,
𣳠,母,hǎi,,,,,
𣳡,,,,,,,mồ
𣳢,外,,,,,,ngòi
𣳣,尻,,,,,,
𣳤,,zhàn,,,,,
𣳥,㡯,,,,,,
𣳦,囟,xì,,,,,
𣳧,,,,,,,
𣳨,,,deoi1,,,,
𣳩,次,zī,,,,,
𣳪,吏,,,,,,lượi
𣳫,,,,,,,
𣳬,,xí,,,,,
𣳭,,piào,,,,,
𣳮,吕,,,,,,lả
𣳯,,,,,,,
𣳰,,bēn,,,,,
𣳱,,,,,,,
𣳲,囝,jiǎn,,,,,
𣳳,,,,,,,
𣳴,,,,,,,
𣳵,,,,,,,
𣳶,㔻,,,,,,
𣳷,,,,,,,
𣳸,兇,,,,,,
𣳹,,,,,,,
𣳺,,,,,,,
𣳻,,,,,,,
𣳼,朵,,doe4,,,,
𣳽,,,pui3,,,,
𣳾,龹,,taai3,,,,
𣳿,宇,,jyu5,,,,
𣴀,,,,,,,
𣴁,,,,,,,
𣴂,,,,,,,
𣴃,,,,,,,
𣴄,,,,,,,
𣴅,,,,,,,
𣴆,,,,,,,
𣴇,厌,,,,,,
𣴈,,,,,,,
𣴉,,,,,,,
𣴊,,,,,,,
𣴋,,,,,,,
𣴌,,,,,,,
𣴍,,,,,,,
𣴎,,,,,,,
𣴏,,,,,,,
𣴐,,,,,,,
𣴑,,,,,,,
𣴒,,,,,,,
𣴓,件,jiàn,,,,,cạn
𣴔,,,,,,,
𣴕,灮,,,,,,
𣴖,,zá,,,,,
𣴗,,,,,,,
𣴘,汏,,,,,,
𣴙,,,,,,,đư
𣴚,劦,,,,,,hụp
𣴛,戎,,,,,,nhúng
𣴜,托,,,,,,thác
𣴝,,,,,,,
𣴞,坌,bèn,,,,,
𣴟,皃,mào,,,,,
𣴠,,,,,,,
𣴡,,,,,,,
𣴢,皁,zào,,,,,
𣴣,壯,zhuàng,,,,,
𣴤,,,,,,,
𣴥,狂,kuáng,,,,,
𣴦,,,,,,,
𣴧,,,,,,,
𣴨,,bí,,,,,
𣴩,,,,,,,
𣴪,,pài,,,,,
𣴫,,,,,,,
𣴬,,,,,,,
𣴭,,,,,,,
𣴮,,,,,,,
𣴯,,,,,,,
𣴰,,,,,,,
𣴱,,,,,,,
𣴲,,,,,,,
𣴳,,,,,,,
𣴴,,,,,,,
𣴵,,,,,,,
𣴶,,,,,,,
𣴷,抄,,,,,,
𣴸,,,,,,,
𣴹,,,,,,,
𣴺,囦,,,,,,
𣴻,,,,,,,
𣴼,㒵,mào,,,,,
𣴽,,tàn,,,,,
𣴾,,,,,,,
𣴿,,,,,,,
𣵀,,,lit6 nit6,,,,
𣵁,,,,,,,
𣵂,汵,,,,,,
𣵃,,,,,,,
𣵄,,,,,,,
𣵅,,,,,,,
𣵆,,,,,,,
𣵇,究,,,,,,
𣵈,,,,,,,
𣵉,亣,,,,,,
𣵊,,,,,,,
𣵋,,,,,,,
𣵌,,,,,,,
𣵍,,,,,,,
𣵎,李,,,,,,
𣵏,肀,,,,,,
𣵐,,,,,,,
𣵑,,,,,,,
𣵒,,,,,,,
𣵓,吻,,,,,,
𣵔,,,,,,,
𣵕,,,,,,,
𣵖,,,,,,,
𣵗,,,,,,,
𣵘,,,,,,,
𣵙,,,,,,,
𣵚,,,,,,,
𣵛,秀,,sau3,,,,
𣵜,岙,,,,,,
𣵝,,,,,,,
𣵞,吞,tǔn,,,,,
𣵟,,luǒ,,,,,
𣵠,,,,,,,
𣵡,,,,,,,
𣵢,,tān,,,,,
𣵣,何,,,,,,
𣵤,但,,,,,,
𣵥,,,,,,,
𣵦,甸,,,,,,
𣵧,,,,,,,
𣵨,,,,,,,
𣵩,,,,,,,
𣵪,,,,,,,
𣵫,,,,,,,
𣵬,,,,,,,
𣵭,,,,,,,
𣵮,邦,,,,,,bưng
𣵯,吹,,,,,,xôi
𣵰,吝,,,,,,lặn
𣵱,抂,án,,,,,
𣵲,伴,,,,,,bợn
𣵳,,,,,,,
𣵴,吟,,,,,,ngấm
𣵵,岌,,,,,,ngập
𣵶,吹,,,,,,xuôi
𣵷,邯,hán,,,,,
𣵸,,zhú,,,,,
𣵹,洰,,,,,,
𣵺,陁,duò,,,,,
𣵻,陀,duò,,,,,
𣵼,盰,gàn,,,,,
𣵽,芺,,,,,,
𣵾,亞,,gwai1,,,,
𣵿,侃,,,,,,
𣶀,,,,,,,
𣶁,,,,,,,
𣶂,往,,,,,,
𣶃,,,,,,,
𣶄,,,,,,,
𣶅,㞐,,,,,,
𣶆,穹,qiòng,,,,,
𣶇,,,,,,,
𣶈,罔,wǎng,,,,,vóng
𣶉,戽,,,,,,
𣶊,陌,mò,,,,,
𣶋,,zhè,,,,,
𣶌,汦,wěn,,,,,
𣶍,狀,zhuàng,,,,,
𣶎,岶,,,,,,
𣶏,疌,jiē,zip3,,,,
𣶐,奅,pào,,,,,
𣶑,,,,,,,
𣶒,,,,,,,
𣶓,,,,,,,
𣶔,,,,,,,
𣶕,匩,,,,,,
𣶖,,,,,,,
𣶗,,,,,,,
𣶘,,sù,,,,,
𣶙,沝,,,,,,
𣶚,,,,,,,
𣶛,,,,,,,
𣶜,,,,,,,
𣶝,坥,jù,,,,,
𣶞,呥,,,,,,
𣶟,,,,,,,
𣶠,,qī,,,,,
𣶡,,càn,,,,,
𣶢,㫄,,,,,,
𣶣,叀,tuán,,,,,
𣶤,,shā,,,,,
𣶥,,,,,,,
𣶦,,tuó,,,,,
𣶧,,,,,,,
𣶨,,,,,,,
𣶩,画,huà,,,,,
𣶪,旺,,,,,,
𣶫,诣,yì,,,,,
𣶬,,,,,,,
𣶭,虏,,,,,,
𣶮,,,,,,,
𣶯,,,,,,,
𣶰,,,,,,,
𣶱,,,,,,,
𣶲,杪,,,,,,
𣶳,,,,,,,
𣶴,肿,,,,,,
𣶵,歨,,,,,,
𣶶,采,,coi2,,,,
𣶷,,,daam6,,,,
𣶸,秉,,bing2,,,,
𣶹,,,jin2,,,,
𣶺,宜,,ji4,,,,
𣶻,廸,,dik6,,,,
𣶼,芬,,fan1,,,,
𣶽,芸,,wan4,,,,
𣶾,,,,,,,
𣶿,羋,,,,,,
𣷀,,,,,,,
𣷁,,,,,,,
𣷂,宝,,,,,,
𣷃,,,,,,,
𣷄,,,,,,,
𣷅,,,,,,,
𣷆,,,,,,,
𣷇,,,,,,,
𣷈,,,,,,,
𣷉,,,,,,,
𣷊,,,,,,,
𣷋,,,,,,,
𣷌,,,,,,,
𣷍,,,,,,,
𣷎,,,,,,,
𣷏,芩,,,,,,
𣷐,,,,,,,
𣷑,,,,,,,
𣷒,,,,,,,
𣷓,和,,,,,,
𣷔,,,,,,,
𣷕,,,,,,,
𣷖,氽,,,,,,
𣷗,,,,,,,
𣷘,,,,,,,
𣷙,,,,,,,
𣷚,,,,,,,
𣷛,,,,,,,
𣷜,,,,,,,
𣷝,尭,,,,,,
𣷞,,,,,,,
𣷟,,,,,,,
𣷠,明,mín,,,,,mênh
𣷡,忠,zhōng,,,,,
𣷢,,,,,,,
𣷣,岡,,gong1,,,,
𣷤,,,,,,,
𣷥,,shuò,,,,,
𣷦,,,,,,,
𣷧,㕻,,,,,,
𣷨,,,,,,,
𣷩,,yì,,,,,
𣷪,,wǎng,,,,,
𣷫,放,áo,,,,,
𣷬,,,,,,,
𣷭,彼,,,,,,bể
𣷮,,,,,,,lội
𣷯,近,,,,,,cặn
𣷰,岩,,,,,,nhơm
𣷱,使,,,,,,sữa
𣷲,所,,,,,,sữa
𣷳,底,,,,,,đáy
𣷴,表,,,,,,vẻo
𣷵,,,,,,,
𣷶,,sǔ,,,,,
𣷷,变,,,,,,biển
𣷸,芝,,zi1,,,,
𣷹,沗,,,,,,
𣷺,,,,,,,
𣷻,,,,,,,
𣷼,,,,,,,
𣷽,侵,,,,,,
𣷾,軌,guǐ,,,,,
𣷿,,tuǒ,,,,,
𣸀,虺,huǐ,,,,,
𣸁,,,,,,,
𣸂,,,,,,,
𣸃,,xù,,,,,
𣸄,昝,zǎn,,,,,
𣸅,括,,,,,,
𣸆,茈,zǐ,ci2,,,,
𣸇,便,biàn,,,,,
𣸈,,,,,,,
𣸉,,dá,,,,,
𣸊,侌,yīn,,,,,
𣸋,畎,quǎn,,,,,
𣸌,,,,,,,
𣸍,癹,,,,,,
𣸎,㕟,huài,,,,,
𣸏,拏,ná,,,,,
𣸐,砅,zá,,,,,
𣸑,,,loeng4,,,,
𣸒,厗,tí,,,,,
𣸓,,,,,,,
𣸔,,,,,,,
𣸕,,,,,,,
𣸖,,,,,,,
𣸗,,,,,,,
𣸘,迱,yí,,,,,
𣸙,,tān,,,,,
𣸚,虵,shé,,,,,
𣸛,削,shuò,,,,,
𣸜,盼,,,,,,
𣸝,,xíng,,,,,
𣸞,沝,,,,,,
𣸟,,,,,,,
𣸠,,yǒu,,,,,
𣸡,,,,,,,
𣸢,毖,,,,,,
𣸣,賁,fén,,,,,
𣸤,,,,,,,
𣸥,,,,,,,
𣸦,,,,,,,
𣸧,,,,,,,
𣸨,荧,,,,,,
𣸩,,,,,,,
𣸪,,,,,,,
𣸫,垒,,,,,,
𣸬,昭,,ciu1,,,,
𣸭,昱,,juk1,,,,
𣸮,,,jam1,,,,
𣸯,,,jau4,,,,
𣸰,,,jim1,,,,
𣸱,苑,,jyun2,,,,
𣸲,,,,,,,
𣸳,,,,,,,
𣸴,宄,,,,,,
𣸵,,,,,,,
𣸶,残,,,,,,
𣸷,,,,,,,
𣸸,沗,,,,,,
𣸹,屏,,ping4,,,,
𣸺,,,,,,,
𣸻,茂,,,,,,
𣸼,,,,,,,
